1375586,28-01-2015,N,ES,H,35,12-01-2015,0,6,1,,1,A,S,N,,KHL,N,1,29,MALAGA,1,87218.1,02 - PARTICULARES
1050611,28-01-2015,N,ES,V,23,10-08-2012,0,35,1,,1,I,S,S,,KHE,N,1,13,CIUDAD REAL,0,35548.74,03 - UNIVERSITARIO
1050612,28-01-2015,N,ES,V,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,0,122179.11,03 - UNIVERSITARIO
1050613,28-01-2015,N,ES,H,22,10-08-2012,0,35,1,,1,I,S,N,,KHD,N,1,50,ZARAGOZA,0,119775.54,03 - UNIVERSITARIO
1050614,28-01-2015,N,ES,V,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,,03 - UNIVERSITARIO
1050615,28-01-2015,N,ES,H,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,22220.04,03 - UNIVERSITARIO
1050616,28-01-2015,N,ES,H,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,24,LEON,0,295590.36,03 - UNIVERSITARIO
1050617,28-01-2015,N,ES,H,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,113316.66,03 - UNIVERSITARIO
1050619,28-01-2015,N,ES,H,24,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,20,GIPUZKOA,0,,03 - UNIVERSITARIO
1050620,28-01-2015,N,ES,H,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,10,CACERES,0,113194.98,03 - UNIVERSITARIO
1050621,28-01-2015,N,ES,V,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,50,ZARAGOZA,0,72575.88,03 - UNIVERSITARIO
1050622,28-01-2015,N,ES,H,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,17,GIRONA,0,,03 - UNIVERSITARIO
1050623,28-01-2015,N,ES,H,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,49,ZAMORA,1,113538.81,03 - UNIVERSITARIO
1050624,28-01-2015,N,ES,H,65,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,61605.09,02 - PARTICULARES
1050625,28-01-2015,N,ES,V,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,49,ZAMORA,1,,03 - UNIVERSITARIO
1050626,28-01-2015,N,ES,V,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,8,BARCELONA,1,,03 - UNIVERSITARIO
1050610,28-01-2015,N,ES,V,24,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,37,SALAMANCA,1,68318.46,03 - UNIVERSITARIO
1050627,28-01-2015,N,ES,H,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,0,65608.35,03 - UNIVERSITARIO
1050609,28-01-2015,N,ES,H,22,10-08-2012,0,35,1,,1,I,S,N,,KFA,N,1,13,CIUDAD REAL,1,73432.47,03 - UNIVERSITARIO
1050605,28-01-2015,N,ES,V,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,,03 - UNIVERSITARIO
1050582,28-01-2015,N,ES,V,28,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,1,64620.57,03 - UNIVERSITARIO
1050586,28-01-2015,N,ES,V,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,13,CIUDAD REAL,1,64194.99,03 - UNIVERSITARIO
1050588,28-01-2015,N,ES,H,22,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,9,BURGOS,1,,03 - UNIVERSITARIO
1050589,28-01-2015,N,ES,V,23,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,22,HUESCA,0,119173.89,03 - UNIVERSITARIO
1050591,28-01-2015,N,ES,H,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,13,CIUDAD REAL,1,58728.39,03 - UNIVERSITARIO
1050592,28-01-2015,N,ES,H,22,10-08-2012,0,35,1,,1,I,S,N,,KHD,N,1,31,NAVARRA,0,,03 - UNIVERSITARIO
1050595,28-01-2015,N,ES,V,25,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,5,AVILA,1,86863.38,03 - UNIVERSITARIO
1050596,28-01-2015,N,ES,H,25,10-08-2012,0,35,1,,1,A,S,S,,KHE,N,1,50,ZARAGOZA,1,68421.36,03 - UNIVERSITARIO
1050597,28-01-2015,N,ES,H,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,45,TOLEDO,0,,03 - UNIVERSITARIO
1050598,28-01-2015,N,ES,H,23,10-08-2012,0,35,1,,1,A,S,N,,KHE,N,1,45,TOLEDO,1,90408.75,03 - UNIVERSITARIO
1050599,28-01-2015,N,ES,V,24,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,49,ZAMORA,0,74780.37,03 - UNIVERSITARIO
1050601,28-01-2015,N,ES,V,26,10-08-2012,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,120146.49,03 - UNIVERSITARIO
